date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo_before,away_elo_before,elo_difference,home_advantage,result
1901-03-02,Wales,Scotland,1.0,1.0,British Home Championship,Wrexham,Wales,False,1573.665845198028,1875.4381698755772,-301.77232467754925,1,draw
1901-03-09,England,Northern Ireland,3.0,0.0,British Home Championship,Southampton,England,False,1898.9207711652014,1494.899404475237,404.02136668996445,1,home_win
1901-03-18,England,Wales,6.0,0.0,British Home Championship,Newcastle,England,False,1900.7010510487612,1580.6723166587763,320.02873438998495,1,home_win
1901-03-23,Northern Ireland,Wales,0.0,1.0,British Home Championship,Belfast,Ireland,False,1493.119124591677,1577.936569527436,-84.81744493575889,1,away_win
1901-03-30,England,Scotland,2.0,2.0,British Home Championship,London,England,False,1903.4367981801015,1868.4316984148288,35.00509976527269,1,draw
1902-02-22,Wales,Northern Ireland,0.0,3.0,British Home Championship,Cardiff,Wales,False,1585.5426949722062,1485.5129991469069,100.02969582529931,1,away_win
1902-03-01,Northern Ireland,Scotland,1.0,5.0,British Home Championship,Belfast,Ireland,False,1498.315086766804,1869.4358307831706,-371.12074401636664,1,away_win
1902-03-03,Wales,England,0.0,0.0,British Home Championship,Wrexham,Wales,False,1572.740607352309,1902.4326658117598,-329.69205845945066,1,draw
1902-03-15,Scotland,Wales,5.0,1.0,British Home Championship,Greenock,Scotland,False,1871.5481179222588,1580.133590022507,291.4145278997519,1,home_win
1902-03-22,Northern Ireland,England,0.0,1.0,British Home Championship,Belfast,Ireland,False,1496.2027996277156,1895.039683141562,-398.83688351384626,1,away_win
1902-05-03,England,Scotland,2.0,2.0,British Home Championship,Birmingham,England,False,1896.8689621514957,1874.6966090487635,22.17235310273213,1,draw
1902-07-20,Uruguay,Argentina,0.0,6.0,Friendly,Montevideo,Uruguay,False,1788.0770318700886,1957.1980127364832,-169.12098086639458,1,away_win
1902-10-12,Austria,Hungary,5.0,0.0,Friendly,Vienna,Austria,False,1744.0610461791691,1698.0107029908502,46.05034318831895,1,home_win
1903-02-14,England,Northern Ireland,4.0,0.0,British Home Championship,Wolverhampton,England,False,1896.2316554665294,1494.3735206177819,401.85813484874757,1,home_win
